CMDLINE 2908
MEM 3.406250 1708236847.9030
MEM 3.406250 1708236848.0116
MEM 3.406250 1708236848.1177
MEM 3.406250 1708236848.2495
MEM 3.406250 1708236848.3572
MEM 3.406250 1708236848.4639
MEM 3.406250 1708236848.5684
MEM 3.406250 1708236848.6779
MEM 3.406250 1708236848.7842
MEM 3.406250 1708236848.8906
MEM 3.406250 1708236848.9975
MEM 3.406250 1708236849.1047
MEM 3.406250 1708236849.2099
MEM 3.406250 1708236849.3168
MEM 3.406250 1708236849.4239
MEM 3.406250 1708236849.5311
MEM 3.406250 1708236849.6356
MEM 3.406250 1708236849.7444
MEM 3.406250 1708236849.8532
MEM 3.406250 1708236849.9579
MEM 3.406250 1708236850.0643
MEM 3.406250 1708236850.1707
MEM 3.406250 1708236850.2784
MEM 3.406250 1708236850.3848
MEM 3.406250 1708236850.4913
MEM 3.406250 1708236850.5973
MEM 3.406250 1708236850.7041
MEM 3.406250 1708236850.8117
MEM 3.406250 1708236850.9199
MEM 3.406250 1708236851.0401
MEM 3.406250 1708236851.1458
MEM 3.406250 1708236851.2522
MEM 3.406250 1708236851.3602
MEM 3.406250 1708236851.4653
MEM 3.406250 1708236851.5713
MEM 3.406250 1708236851.6789
MEM 3.406250 1708236851.7863
MEM 3.406250 1708236851.8926
MEM 3.406250 1708236852.0023
MEM 3.406250 1708236852.1071
MEM 3.406250 1708236852.2120
MEM 3.406250 1708236852.3179
MEM 3.406250 1708236852.4261
MEM 3.406250 1708236852.5280
MEM 3.406250 1708236852.6402
MEM 3.406250 1708236852.7460
MEM 3.406250 1708236852.8524
MEM 3.406250 1708236852.9625
MEM 3.406250 1708236853.0652
MEM 3.406250 1708236853.1731
MEM 3.406250 1708236853.2803
MEM 3.406250 1708236853.3858
MEM 3.406250 1708236853.4874
MEM 3.406250 1708236853.5892
MEM 3.406250 1708236853.6901
MEM 3.406250 1708236853.7996
MEM 3.406250 1708236853.9061
MEM 3.406250 1708236854.0131
MEM 3.406250 1708236854.1188
MEM 3.406250 1708236854.2257
MEM 3.406250 1708236854.3330
MEM 3.406250 1708236854.4409
MEM 3.406250 1708236854.5465
MEM 3.406250 1708236854.6520
MEM 3.406250 1708236854.7589
MEM 3.406250 1708236854.8661
MEM 3.406250 1708236854.9728
MEM 3.406250 1708236855.0792
MEM 3.406250 1708236855.1862
MEM 3.406250 1708236855.2925
MEM 3.406250 1708236855.3997
MEM 3.406250 1708236855.5066
MEM 3.406250 1708236855.6136
MEM 3.406250 1708236855.7207
MEM 3.406250 1708236855.8211
MEM 3.406250 1708236855.9213
MEM 3.406250 1708236856.0273
MEM 3.406250 1708236856.1333
MEM 3.406250 1708236856.2342
MEM 3.406250 1708236856.3466
MEM 3.406250 1708236856.4540
MEM 3.406250 1708236856.5609
MEM 3.406250 1708236856.6668
MEM 3.406250 1708236856.7734
MEM 3.406250 1708236856.8812
MEM 3.406250 1708236856.9904
MEM 3.406250 1708236857.0951
MEM 3.406250 1708236857.2049
MEM 3.406250 1708236857.3066
MEM 3.406250 1708236857.4158
MEM 3.406250 1708236857.5209
MEM 3.406250 1708236857.6270
MEM 3.406250 1708236857.7343
MEM 3.406250 1708236857.8405
MEM 3.406250 1708236857.9471
MEM 3.406250 1708236858.0540
MEM 3.406250 1708236858.1615
MEM 3.406250 1708236858.2729
MEM 3.406250 1708236858.3739
MEM 3.406250 1708236858.4859
MEM 3.406250 1708236858.5903
MEM 3.406250 1708236858.6956
MEM 3.406250 1708236858.8016
MEM 3.406250 1708236858.9068
MEM 3.406250 1708236859.0124
MEM 3.406250 1708236859.1164
MEM 3.406250 1708236859.2219
MEM 3.406250 1708236859.3274
MEM 3.406250 1708236859.4287
MEM 3.406250 1708236859.5359
MEM 3.406250 1708236859.6423
MEM 3.406250 1708236859.7528
MEM 3.406250 1708236859.8564
MEM 3.406250 1708236859.9629
MEM 3.406250 1708236860.0678
MEM 3.406250 1708236860.1753
MEM 3.406250 1708236860.2881
MEM 3.406250 1708236860.3932
MEM 3.406250 1708236860.5049
MEM 3.406250 1708236860.6165
MEM 3.406250 1708236860.7272
MEM 3.406250 1708236860.8374
MEM 3.406250 1708236860.9402
MEM 3.406250 1708236861.0408
MEM 3.406250 1708236861.1493
MEM 3.406250 1708236861.2533
MEM 3.406250 1708236861.3597
MEM 3.406250 1708236861.4704
MEM 3.406250 1708236861.5802
MEM 3.406250 1708236861.6901
MEM 3.406250 1708236861.7907
MEM 3.406250 1708236861.8929
MEM 3.406250 1708236862.0039
MEM 3.406250 1708236862.1087
MEM 3.406250 1708236862.2107
MEM 3.406250 1708236862.3116
MEM 3.406250 1708236862.4216
MEM 3.406250 1708236862.5229
MEM 3.406250 1708236862.6311
MEM 3.406250 1708236862.7318
MEM 3.406250 1708236862.8366
MEM 3.406250 1708236862.9377
MEM 3.406250 1708236863.0424
MEM 3.406250 1708236863.1492
MEM 3.406250 1708236863.2553
MEM 3.406250 1708236863.3621
MEM 3.406250 1708236863.4710
MEM 3.406250 1708236863.5774
MEM 3.406250 1708236863.6838
MEM 3.406250 1708236863.7928
MEM 3.406250 1708236863.8959
MEM 3.406250 1708236864.0046
MEM 3.406250 1708236864.1136
MEM 3.406250 1708236864.2215
MEM 3.406250 1708236864.3220
MEM 3.406250 1708236864.4357
MEM 3.406250 1708236864.5456
MEM 3.406250 1708236864.6469
MEM 3.406250 1708236864.7568
MEM 3.406250 1708236864.8664
MEM 3.406250 1708236864.9716
MEM 3.406250 1708236865.0818
MEM 3.406250 1708236865.1919
MEM 3.406250 1708236865.3058
MEM 3.406250 1708236865.4062
MEM 3.406250 1708236865.5213
MEM 3.406250 1708236865.6317
MEM 3.406250 1708236865.7424
MEM 3.406250 1708236865.8599
MEM 3.406250 1708236865.9677
MEM 3.406250 1708236866.0726
MEM 3.406250 1708236866.1768
MEM 3.406250 1708236866.2852
MEM 3.406250 1708236866.3923
MEM 3.406250 1708236866.5010
MEM 3.406250 1708236866.6088
MEM 3.406250 1708236866.7231
MEM 3.406250 1708236866.8338
MEM 3.406250 1708236866.9366
MEM 3.406250 1708236867.0402
MEM 3.406250 1708236867.1512
MEM 3.406250 1708236867.2623
MEM 3.406250 1708236867.3651
MEM 3.406250 1708236867.4754
MEM 3.406250 1708236867.5852
MEM 3.406250 1708236867.6953
MEM 3.406250 1708236867.8115
MEM 3.406250 1708236867.9115
MEM 3.406250 1708236868.0202
MEM 3.406250 1708236868.1300
MEM 3.406250 1708236868.2321
MEM 3.406250 1708236868.3364
MEM 3.406250 1708236868.4477
MEM 3.406250 1708236868.5679
MEM 3.406250 1708236868.6712
MEM 3.406250 1708236868.7943
MEM 3.406250 1708236868.9041
MEM 3.406250 1708236869.0177
MEM 3.406250 1708236869.1278
MEM 3.406250 1708236869.2378
MEM 3.406250 1708236869.3479
MEM 3.406250 1708236869.4592
MEM 3.406250 1708236869.5692
MEM 3.406250 1708236869.6790
MEM 3.406250 1708236869.7892
MEM 3.406250 1708236869.8990
MEM 3.406250 1708236870.0044
MEM 3.406250 1708236870.1147
MEM 3.406250 1708236870.2254
MEM 3.406250 1708236870.3357
MEM 3.406250 1708236870.4455
MEM 3.406250 1708236870.5579
MEM 3.406250 1708236870.6677
MEM 3.406250 1708236870.7775
MEM 3.406250 1708236870.8873
MEM 3.406250 1708236870.9969
MEM 3.406250 1708236871.1089
MEM 3.406250 1708236871.2178
MEM 3.406250 1708236871.3206
MEM 3.406250 1708236871.4246
MEM 3.406250 1708236871.5270
MEM 3.406250 1708236871.6291
MEM 3.406250 1708236871.7392
MEM 3.406250 1708236871.8451
MEM 3.406250 1708236871.9544
MEM 3.406250 1708236872.0582
MEM 3.406250 1708236872.1670
MEM 3.406250 1708236872.2724
MEM 3.406250 1708236872.3786
MEM 3.406250 1708236872.4807
MEM 3.406250 1708236872.5932
MEM 3.406250 1708236872.7018
MEM 3.406250 1708236872.8124
MEM 3.406250 1708236872.9226
MEM 3.406250 1708236873.0336
MEM 3.406250 1708236873.1448
MEM 3.406250 1708236873.2457
MEM 3.406250 1708236873.3564
MEM 3.406250 1708236873.4680
MEM 3.406250 1708236873.5782
MEM 3.406250 1708236873.6911
MEM 3.406250 1708236873.7936
MEM 3.406250 1708236873.9029
MEM 3.406250 1708236874.0128
MEM 3.406250 1708236874.1228
MEM 3.406250 1708236874.2349
MEM 3.406250 1708236874.3451
MEM 3.406250 1708236874.4570
MEM 3.406250 1708236874.5674
MEM 3.406250 1708236874.6778
MEM 3.406250 1708236874.7843
MEM 3.406250 1708236874.8947
MEM 3.406250 1708236875.0061
MEM 3.406250 1708236875.1159
MEM 3.406250 1708236875.2264
MEM 3.406250 1708236875.3314
MEM 3.406250 1708236875.4417
MEM 3.406250 1708236875.5518
MEM 3.406250 1708236875.6623
MEM 3.406250 1708236875.7673
MEM 3.406250 1708236875.8712
MEM 3.406250 1708236875.9767
MEM 3.406250 1708236876.0863
MEM 3.406250 1708236876.1872
MEM 3.406250 1708236876.2876
MEM 3.406250 1708236876.3932
MEM 3.406250 1708236876.5015
MEM 3.406250 1708236876.6125
MEM 3.406250 1708236876.7296
MEM 3.406250 1708236876.8350
MEM 3.406250 1708236876.9431
MEM 3.406250 1708236877.0510
MEM 3.406250 1708236877.1574
MEM 3.406250 1708236877.2600
MEM 3.406250 1708236877.3830
MEM 3.406250 1708236877.4910
MEM 3.406250 1708236877.5962
MEM 3.406250 1708236877.7080
MEM 3.406250 1708236877.8102
MEM 3.406250 1708236877.9165
MEM 3.406250 1708236878.0230
MEM 3.406250 1708236878.1322
MEM 3.406250 1708236878.2335
MEM 3.406250 1708236878.3368
MEM 3.406250 1708236878.4468
MEM 3.406250 1708236878.5541
MEM 3.406250 1708236878.6547
MEM 3.406250 1708236878.7581
MEM 3.406250 1708236878.8628
MEM 3.406250 1708236878.9692
MEM 3.406250 1708236879.0744
MEM 3.406250 1708236879.1825
MEM 3.406250 1708236879.2924
MEM 3.406250 1708236879.4022
MEM 3.406250 1708236879.5123
MEM 3.406250 1708236879.6222
MEM 3.406250 1708236879.7367
MEM 3.406250 1708236879.8378
MEM 3.406250 1708236879.9450
MEM 3.406250 1708236880.0490
MEM 3.406250 1708236880.1536
MEM 3.406250 1708236880.2651
MEM 3.406250 1708236880.3683
MEM 3.406250 1708236880.4745
MEM 3.406250 1708236880.5817
MEM 3.406250 1708236880.6902
MEM 3.406250 1708236880.7976
MEM 3.406250 1708236880.9086
MEM 3.406250 1708236881.0089
MEM 3.406250 1708236881.1150
MEM 3.406250 1708236881.2227
MEM 3.406250 1708236881.3302
MEM 3.406250 1708236881.4345
MEM 3.406250 1708236881.5412
MEM 3.406250 1708236881.6487
MEM 3.406250 1708236881.7583
MEM 3.406250 1708236881.8621
MEM 3.406250 1708236881.9698
MEM 3.406250 1708236882.0775
MEM 3.406250 1708236882.1854
MEM 3.406250 1708236882.2959
MEM 3.406250 1708236882.4023
MEM 3.406250 1708236882.5133
MEM 3.406250 1708236882.6248
MEM 3.406250 1708236882.7273
MEM 3.406250 1708236882.8352
MEM 3.406250 1708236882.9410
MEM 3.406250 1708236883.0438
MEM 3.406250 1708236883.1450
MEM 3.406250 1708236883.2596
MEM 3.406250 1708236883.3683
MEM 3.406250 1708236883.4716
MEM 3.406250 1708236883.5827
MEM 3.406250 1708236883.6834
MEM 3.406250 1708236883.7918
MEM 3.406250 1708236883.9008
MEM 3.406250 1708236884.0067
MEM 3.406250 1708236884.1165
MEM 3.406250 1708236884.2194
MEM 3.406250 1708236884.3296
MEM 3.406250 1708236884.4304
MEM 3.406250 1708236884.5386
MEM 3.406250 1708236884.6504
MEM 3.406250 1708236884.7630
MEM 3.406250 1708236884.8635
MEM 3.406250 1708236884.9672
MEM 3.406250 1708236885.0685
MEM 3.406250 1708236885.1758
MEM 3.406250 1708236885.2817
MEM 3.406250 1708236885.3953
MEM 3.406250 1708236885.5019
MEM 3.406250 1708236885.6040
MEM 3.406250 1708236885.7062
MEM 3.406250 1708236885.8186
MEM 3.406250 1708236885.9205
MEM 3.406250 1708236886.0335
MEM 3.406250 1708236886.1460
MEM 3.406250 1708236886.2513
MEM 3.406250 1708236886.3672
MEM 3.406250 1708236886.4687
MEM 3.406250 1708236886.5688
MEM 3.406250 1708236886.6758
MEM 3.406250 1708236886.7858
MEM 3.406250 1708236886.8880
MEM 3.406250 1708236886.9889
MEM 3.406250 1708236887.0957
MEM 3.406250 1708236887.1984
